idx,question_id,heuristic_label,model_label,confidence,correct_label,title,content_preview
4673,psy525_105811,1.9,1.3,0.134,,感觉自己太痛苦,"我跟老公结婚4年,有一个2岁宝宝。自从结婚我就没有开心过,总觉得老公跟我不是一条路。就像拔河一样,他往西我往东。我想把他拽到东边来,死活拽不过来。我很痛苦,很痛"
7124,psy525_108857,1.8,2.1,0.145,,宝宝三岁现在经常歪嘴巴,"宝宝三岁,现在在托班,比较内向,在托班的时候有时候感觉尴尬就会歪这嘴巴,现在次数越来越多,不知道怎么开导她,在家里都很少会这样的"
2745,psy525_103579,1.13,2.1,0.139,,过于敏感又过于心软敏感的人爱胡思乱想心软的人爱自讨苦吃。,"想活出自己珍惜拥有的可是,我该怎么去做"
7889,psy525_109690,1.12,1.17,0.172,,需要专家的帮助,"老师,如何提高自我认知能力?"
3565,psy525_104545,2.4,2.1,0.141,,男友脚踏几条船,"和男友分手了!他在去年就没跟他前任分彻底,就跟我在一起,我们在一起时他告诉我他们已经分手了,只是朋友,我的宽容和大度都没用,怎么跟他沟通,说我介意,他还是没有说"
7887,psy525_109688,2.9,1.2,0.149,,心里很痛苦,"前段时间单位给我调岗,新岗位的同事和领导很不友好,总是排挤和刁难我,我每天总是疲于迎合她们,很心累所以下班后才做点自己喜欢的事,回家有点晚,可我父母却跟单位请假"
5360,psy525_106555,3.2,1.17,0.187,,一次恶心的同性行为,"有过一次恶心同性行为,觉的自己非常肮脏,不想见人,严重影响工作,生活,有点想自杀的冲动,希望您能帮帮我!"
7068,psy525_108796,1.16,1.1,0.136,,儿子被人怀疑偷钱,"儿子被人怀疑偷钱,学校现在在暗中调查,怎么解决"
2370,psy525_103142,1.9,1.9,0.262,,"我快要结婚了跟我女友相爱六年从大学到现在,可是我在网上遇到一个我更喜欢的女孩她对我也很好我该怎么办",我该怎么做我很迷茫不知道该怎么办
4751,psy525_105901,1.8,1.3,0.148,,哥哥无故失联,"哥哥今天下午出门后失联,一开始电话打不通,后来打通了一直不接,所有信息不回,直到爸爸说要报警才说明天回别担心,然后又不回复了,爸爸每个月有给他钱,他说朋友用了他"
5885,psy525_107214,1.6,1.1,0.126,,心里烦躁想发泄,一般都是6点半起不来今天凌晨3点就睡不着了上课总感觉烦躁脸还很红怎么回事
6947,psy525_108661,1.17,1.17,0.253,,总怀疑医生没有很好的给我治疗牙乔正牙,"牙子不整齐,不舒服,乔正过程中还是觉得不舒服"
368,psy525_10510,2.7,2.7,0.128,,"整个家庭一直是岳母操持,岳父从来对儿女感情疏远,话语很少,性格固执孤僻!一直以来没有朋友,也没有兴趣","整个家庭一直是岳母操持,岳父从来对儿女感情疏远,话语很少,性格固执孤僻!一直以来没有朋友,也没有兴趣爱好,亲戚之间也几乎没有走动。儿女多次对于身体病痛多次去医院"
5357,psy525_106552,2.3,2.2,0.127,,怀疑自己有人格缺陷,"本人认为不相信亲情、友情、爱情对生活并没有过大影响,但母亲却做出极大地反对态度(母亲是大专学历)。对此本人极其的不解,导致本人最近经常出现极大的情绪波动,甚是困"
1180,psy525_11408,2.7,1.9,0.131,,"男友出轨后,如何再接受他","男友前女友给他打过一个孩子,两人分手后一直有联系。他俩分手后不久认识了我,那个女的知道我以后开始挽回他,两人纠缠了一段时间,我放不下,也一直等他。现在男朋友已经"
6836,psy525_108527,3.4,1.17,0.137,,最近烦得慌,"在学校里有时候想打人,上课有时候因为太烦听不见,很累"
4531,psy525_105653,3.2,2.1,0.338,,特别想自杀,"想自杀,有自残倾向,也会攻击身边的人,我很痛苦,想自我了结,不想拖累家人"
8103,psy525_109928,1.1,1.1,0.150,,"我觉得自己是性格神经症患者,如果接受心理治疗,会从哪些点开始","我觉得自己是性格神经症患者,具体举几个部分,本人为刚毕业大学生对于自己的以后的职业和从事的领域无法抉择具体原因和“我们时代的神经症人格”如出一辙(我也不确定是不"
1774,psy525_102358,1.7,1.17,0.132,,不知道该怎么处理婚姻问题,"现在我这样很累,不知道怎么办,希望你们能帮帮我"
1055,psy525_11267,1.11,1.17,0.136,,我实在放不下,"我喜欢一个女孩子,非常喜欢,我们有过两个星期的接触,她对我很好,可后来真心的伤了我,我很伤心,原来她一直在玩我,来满足她,根本不在乎我,现在的我整天浑浑噩噩的,"
8032,psy525_109847,1.12,1.17,0.136,,缺爱好难受啊!,"我太缺爱了,不自信,怎么办呢?"
1265,psy525_11504,1.7,1.8,0.139,,"希望和相亲对象相处下去,却排斥肢体接触","本人29剩女,和相亲对象相亲一个月,见过4次,感觉条件和人都还好,想继续相处,出于各方压力是想快些嫁出去。但看着他的样子却一直没有感觉,并且非常排斥肢体接触,特"
6882,psy525_108588,1.7,2.7,0.124,,"丢三落四,记忆力不好,易怒,做事着急,脾气大","我该怎么办,我觉得我压力来源就是因为这些毛病"
7996,psy525_109806,1.12,1.17,0.138,,"我媳妇做微商,我受不了","我媳妇做微商,我不同意,个人认为微商是变相的传销,我讲理说请,软话狠话都说,就是劝不住,之前无论对错,我媳妇我在乎我的感受,为什么一接触微商,就什么不管了……我"
1368,psy525_11616,1.1,1.1,0.479,,"工作不敢去面试,而且学历不高,只有高中。被家人催,心里特烦","我的学历不高,性格内向,又不会什么技术,曾做过一次服务员和麦当劳,但现在反而不敢去面试了,感觉越工作越胆小,都不敢迈出这一步了,想去做服务员看见现在服务员基本是"
6086,psy525_107519,1.7,1.17,0.226,,我不想按照要求来,"就是不想按照要求来,越是让我怎么做我越不想这么做,我觉得心里很烦,为什么我不能遵从自己的内心,想做什么就做什么,为什么我的梦想伊甸园就不能走进么?一遍又一遍的烦"
1843,psy525_102449,1.15,1.17,0.245,,不确定自己是否是易性癖,"我是一个男生,但是渴望穿女生的漂亮衣服,并且想要勾引诱惑同性并与其发生关系,我不确定这是不是易性癖"
7242,psy525_108986,1.17,1.17,0.541,,"女生的观念是;主动的女生会被瞧不起,主动的男生会被视为勇敢。为何主动的女生会被人瞧不起?","女生的观念是;主动的女生会被瞧不起,主动的男生会被视为勇敢。为何主动的女生会被人瞧不起?"
6490,psy525_108066,1.16,1.1,0.132,,"我儿子很叛逆,怎么能治疗","我想咨询我儿子很不听话,喜欢了QQ,总之是很叛逆。"
4421,psy525_105529,2.9,1.17,0.304,,"自言自语,自问自答","有时会幻想,把自己带入设定好的人物中,会自己和自己对话,自己给自己提问题,然后自己回答,会把别的东西拟人,对着说话.会是精神分裂吗.."
450,psy525_10598,1.9,1.9,0.140,,男生穿女装,"您好,我是男生,今年28了,从小喜欢穿女生裤袜等女生衣服,喜欢自己在家穿,其实我就得穿女装没什么不好,女装衣服漂亮,面料舒服,可是我现在结婚了,老婆知道了我的爱"
2013,psy525_102681,1.1,1.2,0.147,,红色性格的我如何与黄色性格的老公和谐相处,"老公霸气十足,富有批判性:很少认可赞美陪伴我,无论我怎样做都无法满足他高标准,严要求的目标,这让我很沮丧,忒不舒服了。为此我喜欢逃避,不愿呆在他的跟前,有意离开"
7020,psy525_108747,2.7,2.1,0.133,,这样的朋友还需要继续相处下去吗?,"是这样的一件事,去年的这个时候,班上可以自愿报名评助学金,就500元,我想参评是因为我的妈妈患上了一种比较严重的慢性病,但是评助学金的话需要交挺多材料的,我一个"
1346,psy525_11592,1.8,1.8,0.319,,接受不了自己,男朋友对我冷淡不和我联系但我们也没分手在这期间我和别的男人由于生理冲动摸了对方的身体他吻了我的胸还要和我做爱但我控制住了现在接收不了自己的这次行为觉得自己背叛了
3343,psy525_104289,2.4,2.1,0.282,,"我平时经常臆想,好像从小就这样,无论在做什么脑子里总会想一些事,会不会是狂想症?","我平时走着坐着,无论是上课学习还是在做事情我都会走神,脑子里想一些乱七八糟的东西,有过去,有未来,有不存在的幻想,也有最近发生的事情,反正就是什么也想,近乎于癫"
7095,psy525_108824,1.9,1.9,0.219,,"男友姐姐回娘家,却去他那住","我男友的姐姐嫁到另一个城市了,每年回来两次左右,五一左右差不多回来一次,十月一差不多回来一个,但是一回来就住几个月,两个月左右吧,这不前几天又回来了,还有俩孩子"
912,psy525_11111,1.7,2.1,0.141,,我总是容易担心焦虑,"我总是这样对于自己想说却没及时说出来的话就是如果不说出来,就会一直想这个事儿几天前,妈妈说到我家借了五万给姨爹的事,妈妈说不要说给大妈他们听,免得闹矛盾。然后我"
2460,psy525_103253,1.1,1.1,0.363,,"孩子的性格特别内向,有些问题不愿和我沟通",感觉她心里压力大学习下降
8279,psy525_110116,1.12,1.17,0.233,,我不知道该说什么,"我很迷茫,不知道如何是好"
4226,psy525_105320,1.16,2.2,0.145,,恋物癖怎么办,我总是偷偷的射在我房东女儿的内衣上
7821,psy525_109617,3.4,1.3,0.107,,这是一种什么样的心理?,"我弟弟现在25岁了,手里没有钱还一直想花钱,控制不住自己,前些日子在网上借款花了十几万,可是现在还是没有改,总是说谎骗人,成了一种习惯,不跟家人说实话。一跟他沟"
4240,psy525_105335,2.4,2.4,0.123,,"老公喝酒成瘾,我该如何做?","我和我丈夫结婚7年了,明天晚上都要喝白酒300毫升或啤酒2000毫升,我也劝过,也和他打过,都无济于事,他总认为自己累,压力大,总为自己找借口,这几年为了改变自"
2144,psy525_102862,1.15,2.2,0.201,,如何确定自己是不是患有边缘性人格障碍,或者存在其他的一些心理问题
1546,psy525_101985,1.2,1.2,0.413,,"我老婆心态不好,总觉得我不顺眼,夫妻关系紧张","我老婆性格固执要强,加上工作压力大,平时和我不愿交流,她做生意我上班,两个人收入差距大,即使我做家务做饭照顾她和孩子她都不满意,总觉得我赚不来钱不能担当家庭重担"
2348,psy525_103114,2.2,2.2,0.346,,最近心里好烦,"你好,医生,我是一名刚上高一的学生,是这样的,我是个比较敏感的人,我所在的班级按小组划分,轮流执勤,下周就轮到我们这组了,而组长就会在这周内保管教室门的钥匙,就"
7241,psy525_108985,1.7,1.8,0.105,,"最近女女同我聊天,她说自己只对女生有感觉,对男生无感觉,但无讨厌,请问我怎样才能帮她纠正","最近女女同我聊天,她说自己只对女生有感觉(读高三发现),对男生无感觉,但无讨厌,大学时谈过一个女性朋友,后来因为那个女的家里出事了,不想连累我女儿才分手了。请问"
706,psy525_10888,1.2,1.2,0.506,,我们还应该在一起么我很爱她,我今年二十岁从小学三年级喜欢上了一个女生那时候她清纯在我十七岁的时候我已经到社会工作了她也是那是一个夏天她给我打电话说要和我处对象我当时都不敢相信然后她说他是认
1256,psy525_11492,1.9,2.1,0.132,,爱还是不爱,前些日子我看了美人鱼之后就疯狂迷恋上了林允我16岁正值初三她19岁那个时候我每天都感觉心里热热的满脑子都是她渴望和她恋爱随着时间的流逝我最近发现我有些时候不会想
5260,psy525_106446,2.9,1.1,0.214,,咨询孩子问题,"您好!我想咨询一下,我的孩子今年14岁,不想去上学,而且脾气暴躁不说话。"
7115,psy525_108848,1.12,2.1,0.149,,个人成长困惑,"我的人生很迷茫,没有动力,也没有方向,我一直被锁在,上辈的爱恨情仇里,把我的三观都冲击的凌乱,越来越看不懂这个世界,迷失了自我"
4013,psy525_105085,2.1,2.1,0.194,,"我真希望她对我说,不用你给我空间。如果她真的喜欢我为何不肯说出这句话?","我通过qq给她发消息说,我给了你2年的空间,我现在特别能够理解等我2年的另外一个女生的境遇。临走前我终于可以给你永久的空间了因为我不会再喜欢你。永久的空间就是不"
6246,psy525_107744,1.6,2.1,0.144,,"繁华万千,我的心毫无一点波澜","不知道怎么了最近几个月,睡眠不好。情绪不好,反正各种不好的都有。本身就是一个内向的人,现在对什么都觉得无趣。我这是什么问题,求解答!谢谢"
6636,psy525_108252,1.7,1.7,0.147,,精神性阳痿,"怎么能够放松,达到能够不紧张的状态"
2200,psy525_102932,2.7,1.8,0.136,,"我对朋友时而讨厌时而喜欢,厌恶自己","已经三四年了我觉得我很没有意志力,大家都喜欢的人,我即使讨厌,也要故作喜欢,hhhh自己知道这有病还硬要去融入,明明知道自己不受欢迎,还是要装作热情,有讨厌从别"
5645,psy525_106886,3.3,1.8,0.132,,虚伪缺乏自信,"朋友他从小被人看不起,给他带来了心理阴影,初三后开始叛逆,他觉得只有他强大了别人才怕他,所谓的强大就是去混社会,成天不学好,打架赌博,吃一些伤害身体的东西,上高"
8182,psy525_110016,1.9,1.9,0.145,,怎样哄讨厌自己的前女友开心。,"再次把前女友惹生气了,她不肯理我,不和我说话,不看我,更不让我拉她的手"
6501,psy525_108082,2.8,1.17,0.138,,"爱焦虑,没自己,不相信自己","平常做事情老好出小毛病,粗心静不下心来,焦虑,有紧迫感,为未来的事情担心的睡不着觉。经常被别人左右心情,依赖别人,自控力差"
5964,psy525_107344,1.9,1.9,0.133,,同性恋失恋求解脱,"前男友劈腿,很爱他,在情感世界里走不出来"
138,psy525_10254,1.2,1.17,0.137,,"我想帮我的妈妈咨询,她疑心病很重。","我的妈妈,是个地道的农村妇女,从40岁开始疑心病很重。经常会说有人害她,因为是文盲。好多东西很难沟通,希望得到专家的帮助,谢谢!"
6258,psy525_107757,2.8,2.1,0.126,,"和孩子交流,任何话也不说","孩子24岁,一年前做汽车销售,现在发现孩子在手机上玩赌博,已经是一个大窟窿。家里人现在想竭尽全力挽救他,和他交谈,他现在无动于衷。我们该咋么办?"
1389,psy525_101773,2.8,2.1,0.125,,对同学产生强烈依赖,"我今年16岁,女生,在读私塾学校,所以同学年龄13到19不等,这一个月开学之后发现自己对于两个同性朋友产生了特别强烈的依赖,一个十九岁一个十八岁,对于另外一个十"
6181,psy525_107653,1.12,1.12,0.166,,"没目标,没方向,很迷茫。",希望能给我指点迷津我该怎么办
720,psy525_10905,2.6,1.8,0.139,,有个朋友总拿我和她自己比较,"有个朋友就是很喜欢攀比,把我和她自己各方面比,上次还笑着当面还和我说她头发比我长,长的比我好看,比我高,比我瘦,等等的,我很讨厌别人把我和谁谁谁比较,非常讨厌,"
4729,psy525_105874,1.9,2.1,0.112,,我的咨询问题,"你好老师,我总是怕男的不要我,我一次对象都没搞成过,都这么大了现在,还不了解人的状态,很自卑怎么办"
187,psy525_10317,2.4,2.4,0.276,,我们能和好如初吗?,"我们还能和好吗?我跟老公在一起12年了,我们是同学,我和他都是对方的初恋也是唯一,他对我很好,我性格很强势,每次吵架都是他认错哄我,我们才开始出来打工钱不够花的"
3725,psy525_104732,1.6,1.17,0.129,,失眠一天只能睡2小时,"上礼拜开始上夜班,白天回宿舍不会睡觉。一整天只睡2小时。一连三天都这样以前好好的,有什么调节的办法,也没想什么事就是不能入睡"
5509,psy525_106723,2.7,2.7,0.348,,总是打孩子,控制不住自己打孩子打了以后又很后悔
7131,psy525_108864,3.4,1.17,0.258,,做心理咨询了解了自己之后不明白的都放下了!,"明白了欺负与被欺负只是一种主动攻击和被动攻击,也放下了好多看不开的事,这是一种成长吗?成长会带来成功吗?我是不是悟性高"
5193,psy525_106371,2.4,1.17,0.149,,如何摆脱母亲性格造成的创伤和影响,希望有老师的电话联系方式
1939,psy525_102577,1.7,2.1,0.228,,挣扎累了早就累了,"39岁,二十多年了,身体就这样季节性折磨我。不知道自己是真懦弱还是真坚强,能活到现在。想去几千里之外的昆明养身体,刚上高一的孩子又丢不下。即便三年后可以去了,结"
3745,psy525_104758,1.7,1.2,0.122,,"苦闷的生活,找不到方向","我和他结婚13年,两个孩子,,前几年还好一些,最近这几年由于做生意不好,外面借好多钱,以前我管生意上的钱,现在他管钱,,我感觉在这份婚姻了找不到自我,心累,,该"
5869,psy525_107193,3.4,1.17,0.288,,"我从小经历家暴和校园暴力,是不是因为这样我始终不敢成为男人?我被男生欺负惯了所以我不敢成为男人。","我从小经历家暴和校园暴力,是不是因为这样我始终不敢成为男人?我被男生欺负惯了所以我不敢成为男人。"
3926,psy525_104984,3.5,1.17,0.122,,脑子里总有一些天马行空的想法,"我哥,三十岁,未婚,每天疑神疑鬼的,而且想法还很奇怪,天马行空的,有一次他认为有人跟着他,就翻过来跟人家,后来又说,对方不能是什么犯罪分子吧,如果发现他跟着人家"
2081,psy525_102769,1.2,1.2,0.211,,怎么样约不理我一个月的男朋友,"我和他只谈了两个月,有一个月他还是去外地进修去了,之前我和他相处,他觉得我不够坦诚,在他面前隐隐瞒瞒的,不够真诚,的确我在他面前表现的不够好,我对待感情比较慢热"
7886,psy525_109687,1.9,1.9,0.295,,"他和我说分手半个月,我挽回两次都失败了,是不是该安静了?",我是不是别再去打扰他了呢?
1563,psy525_102014,1.7,1.17,0.174,,"晚上不瞌睡,白天都瞌睡,上课不听讲,","从小晚上睡觉迟,晚上精神,走来走去,看看门关了没,窗关了吗,白天不起床,上课打瞌睡,没精神"
3983,psy525_105050,2.9,1.17,0.195,,"我想什么做什么都是错,我就是个可有可无的角色","我很想摆脱家里,我讨厌家里,我不说话都是错,我说也是错。我很压抑,运动转移注意力都无法得到释放,甚至我觉得我现在越来越严重了,现在我觉得我很容易走向极端,我很难"
8332,psy525_110173,2.8,1.9,0.202,,如何摆脱感情,"交了一个男朋友,还吸毒,又有背叛,可是我不知道自己怎么就是放不下!"
7776,psy525_109569,1.5,1.9,0.126,,困惑:我不知道自己的选择是否对.对象觉得我就是他要找的人.心里却怀念着初恋,想看一下这段感情发展走向能否长久?以及对方内心是怎样看待我们之间的感情的?该怎样去把握?
2949,psy525_103830,1.1,1.1,0.359,,担忧儿子的状况,"大学毕业两年了,工作不太顺,烦燥的时候多,觉得没有未来,最近一周己没去上班了。说现在啥也不想,就在家待着,问他有规划没?回答:没有。我也不晓得怎么交流下去。"
6948,psy525_108662,2.8,1.17,0.175,,"一直很在乎一个亲人,亲人要结婚了自己却有点不开心。而且经常想到这个亲人,平时他对我很好,我要什么就给",我这是依赖感还是???????????什么呢
5787,psy525_107070,2.9,1.17,0.141,,精神分裂症,问;心理医生能治愈精神分裂症吗?
875,psy525_11070,3.2,3.2,0.213,,成长带给我的伤害,"我生长在农村,家里重男轻女。但我堂叔们的家庭不是,让我怀疑自己是否父母亲生。而,家里整天都是大人吵架,喊打喊杀的,我非常讨厌、害怕、这样的生活。曾想离家出走,那"
551,psy525_10709,2.4,1.1,0.149,,"感情方面的问题,可以给我指引吗","我以前没有察觉,直到昨天晚上被一个男生拒绝才反思,我总是想要找一个自己喜欢的人,就算心里偷偷喜欢,也想找一个,反正就是不能让自己的心没有喜欢的人。我和昨晚拒绝我"
2591,psy525_103400,2.1,2.1,0.589,,这是抑郁症吗?我该怎么办,"我也不知道什么时候开始,有时候脑子里突然会有一种想法,就是想结束自己的生命,觉得活的太累了,可是又不知道为什么会这样,生活其实也没那么糟糕,家庭也很幸福,我也不"
8135,psy525_109963,2.7,1.2,0.132,,恋一物是不是有病?,"老公强迫我留长发,且不能剪短发,我很困扰,怎么说服老公?"
5219,psy525_106401,1.3,1.17,0.127,,小时候我也有过偷看父母做爱的时侯还偷闻了妈妈的内裤,"现在出门在外每天都要自慰一次,这是不是病呀?"
6178,psy525_107649,1.15,1.1,0.207,,"请问老师,欠得贷款有10000万了是第二次了家里人直接不理怎么办,说我死性不改,怎么搞",请问老师有什么好点的办法让他们知道我知道错了
1495,psy525_101904,2.9,2.1,0.376,,"经常会心神不安,还会自言自语,记性差","感觉自己冷漠,热情不了。经常感到孤独。象我这样算不算郁郁证"
6300,psy525_107818,2.7,2.1,0.187,,"我一直在思考我是谁,想的停不下来","什么事都觉得自己做的不对,已经有一年了,头每天都在痛在烧,怎么办"
4247,psy525_105344,2.7,2.7,0.262,,我喜欢偷窥,"我从小经常偷看父母做爱,后来养成偷窥的毛病,现在都结婚了,还是控制不住自己"
2785,psy525_103640,3.4,1.1,0.194,,小孩子对不爱国如何引导?,"老师您好,我有一名上小学三年级的妹妹,她上幼儿园和小学的时候,因为电视里各大少儿频道整天播放的《熊出没》《喜羊羊与灰太狼》等动画片充斥着大量脏话,暴力和很多三观"
7756,psy525_109548,1.8,2.1,0.148,,"对别人说的话,莫名的有反感,又不敢得罪的感觉","前天,我去另外一个县城修手机回来,买了一些水果,经过小姨家门口。把水果给小姨吃。小姨说,你花了多少钱。手里还有几多钱。一说这些自己都反感。头也不回的走了。好像在"
4929,psy525_106090,2.4,2.4,0.122,,怎么判定精神类疾病,"前段时间刚失恋,对我的打击挺大的,目前没走出阴影,谈了俩年我付出很多,他劈腿了然后分手,最近我自己都感觉自己不对劲,因为别人一句话会想很多,有时候说话做事都和以"
7478,psy525_109242,1.14,1.1,0.125,,14岁男孩经常问别的女生是不是穿丝袜,"我家孩子今年十四岁,去年开始发现他在网上经常问一些女生挠脚心是不是痒,发现后和他谈了他也接受了以后不聊了,可昨天发现他在网上竟然问女生是不是穿丝袜,前者和后者我"
4361,psy525_105460,1.17,1.17,0.148,,爱上了已婚的男人,"我喜欢上了一个已婚的男人,一天不见他就想的难受,真的很爱他!我也想过要离开他,可是我发现我根本做不到!我受不了没有他的日子,现在都不知道该怎么办了……"
4662,psy525_105797,2.6,1.17,0.144,,"爱上不该爱的人,他离开了在一起的城市","心里崩溃了我怎么办!吃不下,睡不着"
2901,psy525_103773,1.3,1.17,0.194,,"你好医生,怎么做心理咨询",同性恋的咨询向出柜家人不同意咋办
3840,psy525_104871,1.13,1.17,0.179,,"自卑,缺乏安全感",如何使自己不再缺乏安全感
5920,psy525_107276,2.2,1.17,0.138,,精神出轨了,"我是一个有家有的人,我喜欢上了一个有家的女人,没有什么进一步的接触,彼此可能都有好感,她害怕想接近我又可以回避我,我为这事好痛苦。"
1050,psy525_11261,1.7,2.2,0.143,,过年被逼婚实在是受不了了,"我是一位三十多岁的博士,现在有很好的职业与收入,但是每年过年回老家的时候总是被长辈催婚甚至是逼婚,过年十分紧张,甚至出现精神问题,我不是不想结婚只是没有结婚对象"
5542,psy525_106770,2.2,2.2,0.147,,社交恐惧症,"我在和爱人、朋友、同事交流的过程中我会不断地要求他们完美或者提出一些意见,我自己是这么认为。但是之后我听到的是他们说我在抬杠。我也认识到自己存在的问题,但是我不"
